LETRA;INICIO
a;1
b;402
c;504
d;1130
e;1451
f;1835
g;2008
h;2113
i;2249
j;2465
k;2524
l;2529
m;2679
n;2944
o;3050
p;3163
q;3686
r;3718
s;3988
t;4308
u;4521
v;4560
w;4736
x;4739
y;4744
z;4746
á;4750
é;4763
í;4767
ó;4768
ú;4772
